Mnemonic
FRU
2FI
FIE
A7A
FTK
M11
FMV
SIS
F3A
5FB
FMC1
FRS
FYB
FEV
FOT
FPH
FRA
FOH
FNTN
FPMB
FME
FMEA
FREA
FRE
FREN
CEA
FPE3
FPE
F3D
G2A
GTQ1
GAN
GAZ
INW1
G1A
GBRA
8GM
ASG
GEC
GRM
GFIN
GHH
GME
GSJ
GXI
GWI1
GSC1
GFKV
GFK
GFT
GGS
GIS
GIN
GKS
GS7
GS7A
8GC
GHG
G6P
EDG
EDGA
GO5
3G8A
GOS
5G5
GMM
GYC
8GV
GLJ
6GI
GXP
2HR
HAE
HAL
HAB
HHFA
HNRB
HNR1
HLAG
HAR
HAW
HCL
HDD
HEIU
HEI
HNK1
HPBK
H2FA
HLE
H5E
HEN
HEN3
HMSB
2HP
L60
HLG
HMU
HOT
HOC
HG1
HDI
HO7
HBM
HBH
7HP
HBC1
HBC2
BOSS
BOSA
H9O1
H9W
HYQ
HYU
IBE1
IS8
IMO
ITBA
ITB
IC8
IXD1
2IV
INH
IFXN
IFX
IFXA
INNA
INN1
IXX
IGY
INL
ISH2
ITN
IES
IS7
IBM
INP
IWI
IVX
I8R
OM3X
ISR
I7N
IVU
JFB
A8A
JEN
ZJS1
JNJ
CMC
JUN3
SDF
SDF1
KEL
PPX
KWG
FMK
KMY
2KD
KIN2
KGX
KA8
KCO
SKB
KPN
KPNB
PHIA
PHI1
KBC
KSC
KHNZ
K1R
KRN
KSB
KSB3
KNIA
KU2
KWS
HLBN
LUS
LXS
LCR
LEGN
LEG
LEI
LHL
LHL1
LEN
LEO
Z1L
LLY
LIN
LIN1
LSPN
LSPP
LMI
L1OA
LLD2
LLD
LOM
LTEC
TGH
LO3
LO24
LPK
LSX
NHY
ECK
LHAB
LHA
LUK
MOH
M7U
M12
MU4
MF6
MPRK
MAN
MANC
MAN3
M5Z
PND
KCC
M4I
MZX
MT4
MAK
MTT
MXHN
MA1
MXW
MBB
MDO
US8A
MDS
MCE
MED
MDG1
MDN
ILM1
2M6
MUM
6MK
MRK
MBK
MEO
MEO3
M3V
M6YA
M3B
MCH
MTE
MSF
N8Z1
MLP
MBQ
MGN
KTF
DWD
MOR
MZP
MPCK
93M
MSAG
MSGL
MTX
MTXC
MUB
M4N
MLL
MUVB
MUV2
MUX
C1V
MVV1
MWB
XMY
MBC
MYRK
NTG
M5BQ
N2F
N7G
NN6
NNGE
NEM
NESR
NESM
NFC
NMK
6GX
NMM
NXU
NIII
NKE
NTO
NTT
NOA3
NOAA
NC5A
NDX1
NOEJ
NOH1
NOT
NOTA
NOVA
NOVC
NBG6
NVD
VNX
OBH
OPC
VVV1
VVV3
O3P
OHB
OMV
O5H
OS3
ORC
MOS
FTE
FTE1
OBS
LOR
4OR
OKL
3O1
OSR
OUTA
O4B
PPA
PA8
PA2
ICP
3P7
PAL
PGN
P4I
PNX
P1Z
2PP
PES
HEZ
PEP
P4Q
O2C
PC6
PC6A
PEU
PFV
EMH1
PFE
4I1
R66
PS4
P4O
PNE3
ABS2
PAH3
POC
PRA
PCE1
YP1A
PDA
17E
PCZ
PRG
PWO
PSM
PSAN
PV3A
PV3
PBY
PUM
AHG1
TPE
S26
QIA
QSC
QCI
QB7
RSL2
RAW
EK7N
RAA
RCMN
RTC
3RB
RNL1
RNL
REPA
REP
JL4L
RHM
RAD
RHK
RIB
HP3
CRA1
RIO1
RIOA
RNM
RHO5
RHO
RHO6
RKET
RO5K
ROI
RY8
RYS2
RYS1
R6C1
R6C
R6C2
R6C3
RRTL
RWEA
RWE
RWE3
RY4C
RYA
T1L
SANT
SFQ
FOO
SZG
SSUN
SSU
SAC
SNW2
SNW
SAPA
SAP
SRT
SRT3
SMK
SBNC
SHA
SLT
PZS
SWA
SCL
SND
SLL
SCE
G24
CSY
S9A
YSN
SD1
SEN
T3T1
F3C
SGL
SVE
S4K
S7E
SAE
SHWK
SW1
SIEN
SIE
SIEB
WAF
4SL
SII
SNG
SZZ
ZSB
LNSX
SIX2
SIX3
SK1A
AM3D
SMWN
S92
S4A
SHF
QYM
SFTU
SFT
SYT
SFD1
SFO
SOW
SWVK
SRH
30L2
PHBA
PHBN
SON1
SONA
SWN
SPM
B7J
SCT
GOB
STM
SAZ
99SC
SRB
IKHK
JOB
DNQ
DNQA
SGE1
SGE
ST5
STE
SNH
STO3
ENUR
SBS
SAX
SYK
SZU
SMHN
SZ1
SUL1
SUR
SCA
UHRA
UHR
UHRN
SWM
SLW
SR9
SR9A
SWJA
SWJ
LIO1
SY1
SVJ
SYZ
0TS
TEG
TTK
TLX
TATB
TTR1
TC1
TQI1
TQI
TQIA
TQIR
O2D
TNE5
TNE2
TA1
TLI
NNN1
NNND
TCO
TL0
TEV
TCG
TKA
17T
TLG
ERO1
TTI
GTK
TSE1
TOTB
TOTA
T7Y1
TOMA
TOM
TRIG
TPN
TLA
TUI1
TIN
TWR
0UB
CFC
U1D
UMD
UBK
U9R
U9RA
UBL
CRIN
UNI3
UNIN
UNP
UN01
UN9
ULC
UPAB
UNH
RPL
OSP2
UTC1
UTDI
UZU
VFP
VQT
CVLA
VAC
VG8
VG1
V3S
VVD
VBK
OEWA
VROS
2VP
BAC
VWSA
VWS
VIH
WSV2
VIB3
SQU
3V64
V6C
V3V
VVU
VODI
VODJ
VAS
VOW4
VOW
VOW5
VOW3
2P61
VNA
VOS
VT9
WCH
WAC
WMT
W8A
WSOK
WFS
WSU
WCMK
NWT
WUG
WUG3
WEG1
WHR
WHT
WFM
WIB
WIG1
WBAG
WL6
WGF1
WDL
WDI
WOF
WOPA
WOP
WUW
O1BC
YHO
RNY
IU2
YOC
TGR
0YYA
ZAL
TIM
ZEF
ZCT1
ZO1
FZM
T9Z
ZFI1
ZFIN
